Date,Referral,People
2024-01-19,Word of mouth,2
2024-01-19,meetup.com,1
2024-02-02,Word of mouth,1
2024-02-02,meetup.com,1
2024-02-16,Word of mouth,3
2024-02-16,meetup.com,4
2024-03-01,meetup.com,1
2024-03-15,Internet search,1
2024-03-15,Through love,1
2024-03-15,Word of mouth,2
2024-03-15,meetup.com,2
2024-04-12,Word of mouth,1
2024-04-13,meetup.com,1
2024-05-10,Word of mouth,3
2024-09-27,Internet search,1
2024-09-27,Word of mouth,2
2024-09-27,meetup.com,1
2024-10-11,ACX newsletter,1
2024-10-11,Word of mouth,1
2024-10-25,ACX newsletter,1
2024-11-08,Unknown,3
2024-11-08,Word of mouth,3
2024-11-08,meetup.com,6
2024-12-20,Word of mouth,1
